anyonwiki_code	global_index	datetime	cpu_type	workers	threads	simples_seconds	splitting_seconds	skeletonizing_seconds	saving_seconds	total_seconds	check_split	check_skeletonized
(1, 1, 0, 1, 1, 1, 1)	1	2026-06-18T21:10:52.400	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	5.6	8.6	10.5	1.4	24.6	true	true
(2, 1, 0, 1, 2, 1, 1)	3	2026-06-18T21:10:58.127	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	19.0	0.1	10.5	1.5	29.6	true	true
(2, 1, 0, 1, 1, 1, 1)	2	2026-06-18T21:10:59.165	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	9.6	9.5	11.1	1.6	30.2	true	true
(2, 1, 0, 2, 1, 1, 1)	4	2026-06-18T21:11:03.133	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	9.6	10.1	12.5	1.6	32.2	true	true
(2, 1, 0, 2, 2, 1, 1)	5	2026-06-18T21:11:04.421	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	9.9	9.8	12.2	1.5	31.9	true	true
(3, 1, 0, 1, 2, 1, 1)	7	2026-06-18T21:11:08.394	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	10.2	11.2	16.7	1.5	38.0	true	true
(3, 1, 0, 1, 1, 1, 1)	6	2026-06-18T21:11:08.470	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	9.4	11.6	16.2	1.6	37.1	true	true
(3, 1, 2, 1, 1, 1, 1)	14	2026-06-18T21:11:11.706	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	10.4	10.9	12.4	1.6	33.7	true	true
(4, 1, 0, 1, 2, 1, 1)	18	2026-06-18T21:11:15.944	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	0.7	1.7	13.9	1.3	16.3	true	true
(4, 1, 0, 1, 1, 1, 1)	17	2026-06-18T21:11:35.076	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	22.9	1.1	15.7	1.5	39.7	true	true
(3, 1, 0, 2, 1, 1, 1)	8	2026-06-18T21:11:36.310	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	36.7	0.4	17.5	1.6	54.6	true	true
(4, 1, 0, 2, 1, 1, 1)	21	2026-06-18T21:11:49.286	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	0.2	3.7	36.2	1.4	40.1	true	true
(4, 1, 0, 2, 3, 1, 1)	23	2026-06-18T21:11:52.555	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	0.4	3.3	34.3	1.3	38.0	true	true
(3, 1, 0, 3, 3, 1, 1)	13	2026-06-18T21:12:06.354	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	10.7	12.4	35.3	1.8	58.4	true	true
(4, 1, 0, 2, 2, 1, 1)	22	2026-06-18T21:12:08.641	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	16.8	1.6	32.3	1.5	50.6	true	true
(3, 1, 0, 3, 2, 1, 1)	12	2026-06-18T21:12:09.018	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	9.9	12.1	35.8	1.6	57.9	true	true
(3, 1, 0, 3, 1, 1, 1)	11	2026-06-18T21:12:14.461	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	9.8	13.0	34.7	2.2	57.5	true	true
(4, 1, 0, 2, 4, 1, 1)	24	2026-06-18T21:12:15.360	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	19.4	1.6	36.0	1.4	57.0	true	true
(4, 1, 0, 1, 3, 0, 1)	19	2026-06-18T21:12:23.449	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	11.2	56.5	14.2	1.3	81.9	true	true
(4, 1, 0, 1, 4, 0, 1)	20	2026-06-18T21:12:26.254	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	10.3	56.2	14.4	1.4	80.8	true	true
(3, 1, 0, 2, 3, 0, 1)	10	2026-06-18T21:12:35.448	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	36.8	58.8	16.0	1.9	111.6	true	true
(3, 1, 0, 2, 2, 0, 1)	9	2026-06-18T21:12:35.531	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	36.5	59.7	16.2	1.9	112.4	true	true
(4, 1, 2, 1, 1, 1, 1)	36	2026-06-18T21:12:40.513	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	0.1	1.0	11.1	1.9	12.2	true	true
(4, 1, 0, 3, 1, 1, 1)	25	2026-06-18T21:12:55.293	Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz	16	1	25.9	1.3	61.1	2.2	88.2	true	true
