"index","code","timestamp","cpu","tensorcategories_version","oscar_version","pentagon_axiom","pentagon_runtime_seconds","hexagon_axiom","hexagon_runtime_seconds"
"1","(1, 1, 0, 1, 1, 1, 1)","2026-07-09 12:34:15","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.134542347","true","0.431131399"
"2","(2, 1, 0, 1, 1, 1, 1)","2026-07-09 12:34:15","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.000827067","true","0.150366811"
"3","(2, 1, 0, 1, 1, 1, 2)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.000439857","true","0.001968988"
"4","(2, 1, 0, 1, 1, 2, 1)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.000314899","true","0.001891042"
"5","(2, 1, 0, 1, 1, 2, 2)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.000480406","true","0.001734369"
"6","(2, 1, 0, 1, 2, 1, 1)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.043716599","true","0.026765273"
"7","(2, 1, 0, 1, 2, 1, 2)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.000470059","true","0.0018258"
"8","(2, 1, 0, 1, 2, 2, 1)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.00043334","true","0.001811674"
"9","(2, 1, 0, 1, 2, 2, 2)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.000388751","true","0.002049137"
"10","(2, 1, 0, 2, 1, 1, 1)","2026-07-09 12:34:16","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.001939721","true","0.169963183"
"11","(2, 1, 0, 2, 1, 2, 1)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.004361203","true","0.004504675"
"12","(2, 1, 0, 2, 2, 1, 1)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.002812358","true","0.004564738"
"13","(2, 1, 0, 2, 2, 2, 1)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.002718331","true","0.004305298"
"14","(3, 1, 0, 1, 1, 1, 1)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.027492006","true","0.017852336"
"15","(3, 1, 0, 1, 1, 1, 2)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.023564993","true","0.018286444"
"16","(3, 1, 0, 1, 1, 2, 1)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.016675492","true","0.01781132"
"17","(3, 1, 0, 1, 1, 2, 2)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.023434198","true","0.018875119"
"18","(3, 1, 0, 1, 1, 3, 1)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.01848177","true","0.01832596"
"19","(3, 1, 0, 1, 1, 3, 2)","2026-07-09 12:34:17","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.024764523","true","0.021125994"
"20","(3, 1, 0, 1, 1, 4, 1)","2026-07-09 12:34:18","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.017065475","true","0.017508655"
"21","(3, 1, 0, 1, 1, 4, 2)","2026-07-09 12:34:18","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.021112857","true","0.017568568"
"22","(3, 1, 0, 1, 2, 1, 1)","2026-07-09 12:34:18","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.016985147","true","0.018169081"
"23","(3, 1, 0, 1, 2, 1, 2)","2026-07-09 12:34:18","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.02159233","true","0.018969335"
"24","(3, 1, 0, 1, 2, 2, 1)","2026-07-09 12:34:18","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.025193352","true","0.018043518"
"25","(3, 1, 0, 1, 2, 2, 2)","2026-07-09 12:34:18","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.019689543","true","0.017985069"
"26","(3, 1, 0, 1, 2, 3, 1)","2026-07-09 12:34:18","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.019085095","true","0.017723683"
"27","(3, 1, 0, 1, 2, 3, 2)","2026-07-09 12:34:19","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.025004524","true","0.020095727"
"28","(3, 1, 0, 1, 2, 4, 1)","2026-07-09 12:34:19","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.021877257","true","0.017985855"
"29","(3, 1, 0, 1, 2, 4, 2)","2026-07-09 12:34:19","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","2.432800356","true","0.018131941"
"30","(3, 1, 0, 2, 1, 1, 1)","2026-07-09 12:34:21","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.076603229","true","0.019526234"
"31","(3, 1, 0, 2, 1, 2, 1)","2026-07-09 12:34:22","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.018036643","true","0.019971275"
"32","(3, 1, 0, 2, 1, 3, 1)","2026-07-09 12:34:22","Intel(R) Xeon(R) Gold 6240M CPU @ 2.60GHz","0.6.0","1.7.3","true","0.389436713","true","0.021526669"
