rank, multiplicity, non-self-dual, ring, associator, braiding, pivotal, spherical, modular, unitary 
1, 1, 0, 1, 1, 1, 1, true, true, true
2, 1, 0, 1, 1, 1, 1, true, true, true
2, 1, 0, 1, 1, 1, 2, true, true, false
2, 1, 0, 1, 1, 2, 1, true, true, true
2, 1, 0, 1, 1, 2, 2, true, true, false
2, 1, 0, 1, 2, 1, 1, true, false, true
2, 1, 0, 1, 2, 1, 2, true, false, false
2, 1, 0, 1, 2, 2, 1, true, false, true
2, 1, 0, 1, 2, 2, 2, true, false, false
2, 1, 0, 2, 1, 1, 1, true, true, false
2, 1, 0, 2, 1, 2, 1, true, true, false
2, 1, 0, 2, 2, 1, 1, true, true, false
2, 1, 0, 2, 2, 2, 1, true, true, false
3, 1, 0, 1, 1, 1, 1, true, true, true
3, 1, 0, 1, 1, 1, 2, true, true, false
3, 1, 0, 1, 1, 2, 1, true, true, true
3, 1, 0, 1, 1, 2, 2, true, true, false
3, 1, 0, 1, 1, 3, 1, true, true, true
3, 1, 0, 1, 1, 3, 2, true, true, false
3, 1, 0, 1, 1, 4, 1, true, true, true
3, 1, 0, 1, 1, 4, 2, true, true, false
3, 1, 0, 1, 2, 1, 1, true, true, true
3, 1, 0, 1, 2, 1, 2, true, true, false
3, 1, 0, 1, 2, 2, 1, true, true, true
3, 1, 0, 1, 2, 2, 2, true, true, false
3, 1, 0, 1, 2, 3, 1, true, true, true
3, 1, 0, 1, 2, 3, 2, true, true, false
3, 1, 0, 1, 2, 4, 1, true, true, true
3, 1, 0, 1, 2, 4, 2, true, true, false
3, 1, 0, 2, 1, 1, 1, true, false, false
3, 1, 0, 2, 1, 2, 1, true, false, false
3, 1, 0, 2, 1, 3, 1, true, false, false
3, 1, 0, 2, 2, 0, 1, true, false, false
3, 1, 0, 2, 3, 0, 1, true, false, false
3, 1, 0, 3, 1, 1, 1, true, true, false
3, 1, 0, 3, 1, 2, 1, true, true, false
3, 1, 0, 3, 2, 1, 1, true, true, false
3, 1, 0, 3, 2, 2, 1, true, true, false
3, 1, 0, 3, 3, 1, 1, true, true, false
3, 1, 0, 3, 3, 2, 1, true, true, false
3, 1, 2, 1, 1, 1, 1, true, true, true
3, 1, 2, 1, 1, 1, 2, false, true, false
3, 1, 2, 1, 1, 2, 1, true, true, true
3, 1, 2, 1, 1, 2, 2, false, true, false
3, 1, 2, 1, 1, 3, 1, true, false, true
3, 1, 2, 1, 1, 3, 2, false, false, false
3, 1, 2, 1, 2, 0, 1, false, false, false
3, 1, 2, 1, 2, 0, 2, true, false, true
3, 1, 2, 1, 3, 0, 1, false, false, false
3, 1, 2, 1, 3, 0, 2, false, false, false
4, 1, 0, 1, 1, 1, 1, true, false, true
4, 1, 0, 1, 1, 1, 2, true, false, false
4, 1, 0, 1, 1, 1, 3, true, false, false
4, 1, 0, 1, 1, 2, 1, true, false, true
4, 1, 0, 1, 1, 2, 2, true, false, false
4, 1, 0, 1, 1, 3, 1, true, false, false
4, 1, 0, 1, 1, 3, 2, true, false, false
4, 1, 0, 1, 1, 4, 1, true, false, true
4, 1, 0, 1, 1, 4, 2, true, false, false
4, 1, 0, 1, 1, 4, 3, true, false, false
4, 1, 0, 1, 2, 1, 1, true, true, true
4, 1, 0, 1, 2, 1, 2, true, true, false
4, 1, 0, 1, 2, 1, 3, true, false, true
4, 1, 0, 1, 2, 2, 1, true, false, false
4, 1, 0, 1, 2, 2, 2, true, false, true
4, 1, 0, 1, 2, 2, 3, true, false, false
4, 1, 0, 1, 2, 2, 4, true, false, false
4, 1, 0, 1, 2, 3, 1, true, true, true
4, 1, 0, 1, 2, 3, 2, true, true, false
4, 1, 0, 1, 2, 3, 3, true, true, false
4, 1, 0, 1, 2, 4, 1, true, true, true
4, 1, 0, 1, 2, 4, 2, true, true, false
4, 1, 0, 1, 2, 4, 3, true, true, false
4, 1, 0, 1, 2, 5, 1, true, true, false
4, 1, 0, 1, 2, 5, 2, true, true, true
4, 1, 0, 1, 2, 5, 3, true, true, false
4, 1, 0, 1, 2, 5, 4, true, true, false
4, 1, 0, 1, 2, 6, 1, true, true, true
4, 1, 0, 1, 2, 6, 2, true, true, false
4, 1, 0, 1, 2, 6, 3, true, true, false
4, 1, 0, 1, 3, 0, 1, true, false, true
4, 1, 0, 1, 3, 0, 2, true, false, false
4, 1, 0, 1, 3, 0, 3, true, false, false
4, 1, 0, 1, 4, 0, 1, true, false, true
4, 1, 0, 1, 4, 0, 2, true, false, false
4, 1, 0, 2, 1, 1, 1, true, true, false
4, 1, 0, 2, 1, 1, 2, true, true, false
4, 1, 0, 2, 1, 2, 1, true, true, false
4, 1, 0, 2, 1, 2, 2, true, true, false
4, 1, 0, 2, 1, 3, 1, true, true, false
4, 1, 0, 2, 1, 3, 2, true, true, false
4, 1, 0, 2, 1, 4, 1, true, true, false
4, 1, 0, 2, 1, 4, 2, true, true, false
4, 1, 0, 2, 2, 1, 1, true, false, false
4, 1, 0, 2, 2, 1, 2, true, false, false
4, 1, 0, 2, 2, 2, 1, true, false, false
4, 1, 0, 2, 2, 2, 2, true, false, false
4, 1, 0, 2, 2, 3, 1, true, false, false
4, 1, 0, 2, 2, 3, 2, true, false, false
4, 1, 0, 2, 2, 4, 1, true, false, false
4, 1, 0, 2, 2, 4, 2, true, false, false
4, 1, 0, 2, 3, 1, 1, true, true, false
4, 1, 0, 2, 3, 1, 2, true, true, false
4, 1, 0, 2, 3, 2, 1, true, true, false
4, 1, 0, 2, 3, 2, 2, true, true, false
4, 1, 0, 2, 3, 3, 1, true, true, false
4, 1, 0, 2, 3, 3, 2, true, true, false
4, 1, 0, 2, 3, 4, 1, true, true, false
4, 1, 0, 2, 3, 4, 2, true, true, false
4, 1, 0, 2, 4, 1, 1, true, false, false
4, 1, 0, 2, 4, 1, 2, true, false, false
4, 1, 0, 2, 4, 2, 1, true, false, false
4, 1, 0, 2, 4, 2, 2, true, false, false
4, 1, 0, 2, 4, 3, 1, true, false, false
4, 1, 0, 2, 4, 3, 2, true, false, false
4, 1, 0, 2, 4, 4, 1, true, false, false
4, 1, 0, 2, 4, 4, 2, true, false, false
4, 1, 0, 3, 1, 1, 1, true, false, false
4, 1, 0, 3, 1, 2, 1, true, false, false
4, 1, 0, 3, 1, 3, 1, true, false, false
4, 1, 0, 3, 2, 0, 1, true, false, false
4, 1, 0, 3, 3, 0, 1, true, false, false
4, 1, 0, 4, 1, 1, 1, true, false, false
4, 1, 0, 4, 2, 1, 1, true, false, false
4, 1, 0, 5, 1, 1, 1, true, true, false
4, 1, 0, 5, 1, 2, 1, true, true, false
4, 1, 0, 5, 1, 3, 1, true, true, false
4, 1, 0, 5, 2, 1, 1, true, true, false
4, 1, 0, 5, 2, 2, 1, true, true, false
4, 1, 0, 5, 2, 3, 1, true, true, false
4, 1, 0, 5, 2, 4, 1, true, true, false
4, 1, 0, 5, 3, 1, 1, true, true, false
4, 1, 0, 5, 3, 2, 1, true, true, false
4, 1, 0, 5, 3, 3, 1, true, true, false
4, 1, 0, 6, 1, 1, 1, true, true, false
4, 1, 0, 6, 1, 2, 1, true, true, false
4, 1, 0, 6, 2, 1, 1, true, true, false
4, 1, 0, 6, 2, 2, 1, true, true, false
4, 1, 0, 6, 3, 1, 1, true, true, false
4, 1, 0, 6, 3, 2, 1, true, true, false
4, 1, 2, 1, 1, 1, 1, true, true, false
4, 1, 2, 1, 1, 1, 2, true, true, false
4, 1, 2, 1, 1, 1, 3, false, true, false
4, 1, 2, 1, 1, 2, 1, true, true, false
4, 1, 2, 1, 1, 2, 2, true, true, false
4, 1, 2, 1, 1, 2, 3, false, true, false
4, 1, 2, 1, 1, 3, 1, true, true, false
4, 1, 2, 1, 1, 3, 2, true, true, false
4, 1, 2, 1, 1, 3, 3, false, true, false
4, 1, 2, 1, 1, 4, 1, true, true, false
4, 1, 2, 1, 1, 4, 2, true, true, false
4, 1, 2, 1, 1, 4, 3, false, true, false
4, 1, 2, 1, 2, 1, 1, true, false, true
4, 1, 2, 1, 2, 1, 2, true, false, false
4, 1, 2, 1, 2, 1, 3, false, false, false
4, 1, 2, 1, 2, 2, 1, true, false, true
4, 1, 2, 1, 2, 2, 2, true, false, false
4, 1, 2, 1, 2, 2, 3, false, false, false
4, 1, 2, 1, 2, 3, 1, true, false, false
4, 1, 2, 1, 2, 3, 2, true, false, false
4, 1, 2, 1, 2, 3, 3, false, false, false
4, 1, 2, 1, 2, 4, 1, true, false, false
4, 1, 2, 1, 2, 4, 2, true, false, false
4, 1, 2, 1, 2, 4, 3, false, false, false
4, 1, 2, 1, 3, 0, 1, true, false, false
4, 1, 2, 1, 3, 0, 2, true, false, false
4, 1, 2, 1, 3, 0, 3, false, false, false
4, 1, 2, 1, 4, 0, 1, true, false, false
4, 1, 2, 1, 4, 0, 2, true, false, false
4, 1, 2, 1, 4, 0, 3, false, false, false
4, 1, 2, 2, 1, 0, 1, true, false, false
4, 1, 2, 2, 1, 0, 2, true, false, false
4, 1, 2, 2, 2, 0, 1, true, false, false
4, 1, 2, 2, 2, 0, 2, true, false, false
4, 1, 2, 2, 3, 0, 1, true, false, false
4, 1, 2, 2, 3, 0, 2, true, false, false
4, 1, 2, 2, 4, 0, 1, true, false, false
4, 1, 2, 2, 4, 0, 2, true, false, false
4, 1, 2, 4, 1, 0, 1, true, false, false
4, 1, 2, 4, 2, 0, 1, true, false, false
4, 1, 2, 4, 3, 0, 1, true, false, false
4, 1, 2, 4, 4, 0, 1, true, false, false
5, 1, 0, 1, 1, 1, 1, true, false, true
5, 1, 0, 1, 1, 1, 2, true, false, false
5, 1, 0, 1, 1, 2, 1, true, false, true
5, 1, 0, 1, 1, 2, 2, true, false, false
5, 1, 0, 1, 1, 3, 1, true, false, true
5, 1, 0, 1, 1, 3, 2, true, false, false
5, 1, 0, 1, 1, 4, 1, true, false, true
5, 1, 0, 1, 1, 4, 2, true, false, false
5, 1, 0, 1, 2, 1, 1, true, false, true
5, 1, 0, 1, 2, 1, 2, true, false, false
5, 1, 0, 1, 2, 2, 1, true, false, true
5, 1, 0, 1, 2, 2, 2, true, false, false
5, 1, 0, 1, 2, 3, 1, true, false, true
5, 1, 0, 1, 2, 3, 2, true, false, false
5, 1, 0, 1, 2, 4, 1, true, false, true
5, 1, 0, 1, 2, 4, 2, true, false, false
5, 1, 0, 1, 3, 1, 1, true, false, true
5, 1, 0, 1, 3, 1, 2, true, false, false
5, 1, 0, 1, 3, 2, 1, true, false, true
5, 1, 0, 1, 3, 2, 2, true, false, false
5, 1, 0, 1, 3, 3, 1, true, false, true
5, 1, 0, 1, 3, 3, 2, true, false, false
5, 1, 0, 1, 3, 4, 1, true, false, true
5, 1, 0, 1, 3, 4, 2, true, false, false
5, 1, 0, 1, 3, 5, 1, true, false, true
5, 1, 0, 1, 3, 5, 2, true, false, false
5, 1, 0, 1, 3, 6, 1, true, false, true
5, 1, 0, 1, 3, 6, 2, true, false, false
5, 1, 0, 1, 4, 1, 1, true, false, true
5, 1, 0, 1, 4, 1, 2, true, false, false
5, 1, 0, 1, 4, 2, 1, true, false, true
5, 1, 0, 1, 4, 2, 2, true, false, false
5, 1, 0, 1, 4, 3, 1, true, false, true
5, 1, 0, 1, 4, 3, 2, true, false, false
5, 1, 0, 1, 4, 4, 1, true, false, true
5, 1, 0, 1, 4, 4, 2, true, false, false
5, 1, 0, 1, 4, 5, 1, true, false, true
5, 1, 0, 1, 4, 5, 2, true, false, false
5, 1, 0, 1, 4, 6, 1, true, false, true
5, 1, 0, 1, 4, 6, 2, true, false, false
5, 1, 0, 3, 1, 1, 1, true, true, false
5, 1, 0, 3, 1, 1, 2, true, true, false
5, 1, 0, 3, 1, 2, 1, true, true, false
5, 1, 0, 3, 1, 2, 2, true, true, false
5, 1, 0, 3, 2, 1, 1, true, true, false
5, 1, 0, 3, 2, 1, 2, true, true, false
5, 1, 0, 3, 2, 2, 1, true, true, false
5, 1, 0, 3, 2, 2, 2, true, true, false
5, 1, 0, 4, 1, 1, 1, true, false, false
5, 1, 0, 4, 1, 2, 1, true, false, false
5, 1, 0, 4, 1, 3, 1, true, false, false
5, 1, 0, 4, 2, 0, 1, true, false, false
5, 1, 0, 4, 3, 0, 1, true, false, false
5, 1, 0, 6, 1, 1, 1, true, false, false
5, 1, 0, 6, 2, 1, 1, true, false, false
5, 1, 0, 7, 1, 1, 1, true, false, false
5, 1, 0, 7, 1, 2, 1, true, false, false
5, 1, 0, 7, 2, 1, 1, true, false, false
5, 1, 0, 7, 2, 2, 1, true, false, false
5, 1, 0, 10, 1, 1, 1, true, true, false
5, 1, 0, 10, 1, 2, 1, true, true, false
5, 1, 0, 10, 2, 1, 1, true, true, false
5, 1, 0, 10, 2, 2, 1, true, true, false
5, 1, 0, 10, 3, 1, 1, true, true, false
5, 1, 0, 10, 3, 2, 1, true, true, false
5, 1, 0, 10, 4, 1, 1, true, true, false
5, 1, 0, 10, 4, 2, 1, true, true, false
5, 1, 0, 10, 5, 1, 1, true, true, false
5, 1, 0, 10, 5, 2, 1, true, true, false
5, 1, 2, 1, 1, 0, 1, true, false, false
5, 1, 2, 1, 1, 0, 2, true, false, false
5, 1, 2, 1, 2, 0, 1, true, false, false
5, 1, 2, 1, 2, 0, 2, true, false, false
5, 1, 2, 1, 3, 0, 1, true, false, false
5, 1, 2, 1, 3, 0, 2, true, false, false
5, 1, 2, 1, 4, 0, 1, true, false, false
5, 1, 2, 1, 4, 0, 2, true, false, false
5, 1, 2, 3, 1, 0, 1, true, false, false
5, 1, 2, 3, 1, 0, 2, true, false, false
5, 1, 2, 3, 2, 0, 1, true, false, false
5, 1, 2, 3, 2, 0, 2, true, false, false
5, 1, 2, 4, 1, 0, 1, true, false, false
5, 1, 2, 4, 2, 0, 1, true, false, false
5, 1, 4, 1, 1, 1, 1, true, true, true
5, 1, 4, 1, 1, 1, 2, false, true, false
5, 1, 4, 1, 1, 1, 3, false, true, false
5, 1, 4, 1, 1, 2, 1, true, true, true
5, 1, 4, 1, 1, 2, 2, false, true, false
5, 1, 4, 1, 1, 2, 3, false, true, false
5, 1, 4, 1, 1, 3, 1, true, false, true
5, 1, 4, 1, 1, 3, 2, false, false, false
5, 1, 4, 1, 2, 0, 1, true, false, true
5, 1, 4, 1, 2, 0, 2, false, false, false
5, 1, 4, 1, 2, 0, 3, false, false, false
5, 1, 4, 1, 3, 0, 1, true, false, true
5, 1, 4, 1, 3, 0, 2, false, false, false
5, 1, 4, 1, 3, 0, 3, false, false, false
6, 1, 0, 1, 1, 1, 1, true, true, true
6, 1, 0, 1, 1, 1, 2, true, true, false
6, 1, 0, 1, 1, 1, 3, true, true, false
6, 1, 0, 1, 1, 1, 4, true, true, false
6, 1, 0, 1, 1, 2, 1, true, true, true
6, 1, 0, 1, 1, 2, 2, true, true, false
6, 1, 0, 1, 1, 2, 3, true, true, false
6, 1, 0, 1, 1, 2, 4, true, true, false
6, 1, 0, 1, 1, 3, 1, true, true, true
6, 1, 0, 1, 1, 3, 2, true, true, false
6, 1, 0, 1, 1, 3, 3, true, true, false
6, 1, 0, 1, 1, 3, 4, true, true, false
6, 1, 0, 1, 1, 4, 1, true, true, true
6, 1, 0, 1, 1, 4, 2, true, true, false
6, 1, 0, 1, 1, 4, 3, true, true, false
6, 1, 0, 1, 1, 4, 4, true, true, false
6, 1, 0, 1, 1, 5, 1, true, true, true
6, 1, 0, 1, 1, 5, 2, true, true, false
6, 1, 0, 1, 1, 5, 3, true, true, false
6, 1, 0, 1, 1, 5, 4, true, true, false
6, 1, 0, 1, 1, 6, 1, true, true, true
6, 1, 0, 1, 1, 6, 2, true, true, false
6, 1, 0, 1, 1, 6, 3, true, true, false
6, 1, 0, 1, 1, 6, 4, true, true, false
6, 1, 0, 1, 1, 7, 1, true, true, true
6, 1, 0, 1, 1, 7, 2, true, true, false
6, 1, 0, 1, 1, 7, 3, true, true, false
6, 1, 0, 1, 1, 7, 4, true, true, false
6, 1, 0, 1, 1, 8, 1, true, true, true
6, 1, 0, 1, 1, 8, 2, true, true, false
6, 1, 0, 1, 1, 8, 3, true, true, false
6, 1, 0, 1, 1, 8, 4, true, true, false
6, 1, 0, 1, 2, 1, 1, true, false, true
6, 1, 0, 1, 2, 1, 2, true, false, false
6, 1, 0, 1, 2, 1, 3, true, false, false
6, 1, 0, 1, 2, 1, 4, true, false, false
6, 1, 0, 1, 2, 2, 1, true, false, false
6, 1, 0, 1, 2, 2, 2, true, false, false
6, 1, 0, 1, 2, 2, 3, true, false, true
6, 1, 0, 1, 2, 2, 4, true, false, false
6, 1, 0, 1, 2, 3, 1, true, false, false
6, 1, 0, 1, 2, 3, 2, true, false, false
6, 1, 0, 1, 2, 3, 3, true, false, false
6, 1, 0, 1, 2, 4, 1, true, false, false
6, 1, 0, 1, 2, 4, 2, true, false, true
6, 1, 0, 1, 2, 4, 3, true, false, true
6, 1, 0, 1, 2, 5, 1, true, false, false
6, 1, 0, 1, 2, 5, 2, true, false, false
6, 1, 0, 1, 2, 5, 3, true, false, true
6, 1, 0, 1, 2, 6, 1, true, false, false
6, 1, 0, 1, 2, 6, 2, true, false, false
6, 1, 0, 1, 2, 6, 3, true, false, true
6, 1, 0, 1, 3, 1, 1, true, false, false
6, 1, 0, 1, 3, 1, 2, true, false, false
6, 1, 0, 1, 3, 1, 3, true, false, false
6, 1, 0, 1, 3, 1, 4, true, false, true
6, 1, 0, 1, 3, 2, 1, true, false, true
6, 1, 0, 1, 3, 2, 2, true, false, false
6, 1, 0, 1, 3, 2, 3, true, false, false
6, 1, 0, 1, 3, 2, 4, true, false, false
6, 1, 0, 1, 3, 3, 1, true, false, false
6, 1, 0, 1, 3, 3, 2, true, false, false
6, 1, 0, 1, 3, 3, 3, true, false, true
6, 1, 0, 1, 3, 4, 1, true, false, false
6, 1, 0, 1, 3, 4, 2, true, false, false
6, 1, 0, 1, 3, 4, 3, true, false, true
6, 1, 0, 1, 3, 5, 1, true, false, false
6, 1, 0, 1, 3, 5, 2, true, false, false
6, 1, 0, 1, 3, 5, 3, true, false, true
6, 1, 0, 1, 3, 6, 1, true, false, false
6, 1, 0, 1, 3, 6, 2, true, false, false
6, 1, 0, 1, 3, 6, 3, true, false, true
6, 1, 0, 1, 4, 0, 1, true, false, false
6, 1, 0, 1, 4, 0, 2, true, false, false
6, 1, 0, 1, 4, 0, 3, true, false, false
6, 1, 0, 1, 4, 0, 4, true, false, false
6, 1, 0, 1, 5, 0, 1, true, false, false
6, 1, 0, 1, 5, 0, 2, true, false, false
6, 1, 0, 1, 5, 0, 3, true, false, false
6, 1, 0, 1, 6, 0, 1, true, false, false
6, 1, 0, 1, 6, 0, 2, true, false, false
6, 1, 0, 1, 6, 0, 3, true, false, false
6, 1, 0, 2, 1, 1, 1, true, false, false
6, 1, 0, 2, 1, 1, 2, true, false, false
6, 1, 0, 2, 1, 2, 1, true, false, false
6, 1, 0, 2, 1, 2, 2, true, false, false
6, 1, 0, 2, 1, 3, 1, true, false, false
6, 1, 0, 2, 1, 3, 2, true, false, false
6, 1, 0, 2, 1, 4, 1, true, false, false
6, 1, 0, 2, 1, 4, 2, true, false, false
6, 1, 0, 2, 1, 5, 1, true, false, false
6, 1, 0, 2, 1, 5, 2, true, false, false
6, 1, 0, 2, 1, 6, 1, true, false, false
6, 1, 0, 2, 1, 6, 2, true, false, false
6, 1, 0, 2, 2, 1, 1, true, false, false
6, 1, 0, 2, 2, 1, 2, true, false, false
6, 1, 0, 2, 2, 2, 1, true, false, false
6, 1, 0, 2, 2, 2, 2, true, false, false
6, 1, 0, 2, 2, 3, 1, true, false, false
6, 1, 0, 2, 2, 3, 2, true, false, false
6, 1, 0, 2, 2, 4, 1, true, false, false
6, 1, 0, 2, 2, 4, 2, true, false, false
6, 1, 0, 2, 2, 5, 1, true, false, false
6, 1, 0, 2, 2, 5, 2, true, false, false
6, 1, 0, 2, 2, 6, 1, true, false, false
6, 1, 0, 2, 2, 6, 2, true, false, false
6, 1, 0, 2, 3, 0, 1, true, false, false
6, 1, 0, 2, 3, 0, 2, true, false, false
6, 1, 0, 2, 4, 0, 1, true, false, false
6, 1, 0, 2, 4, 0, 2, true, false, false
6, 1, 0, 2, 5, 0, 1, true, false, false
6, 1, 0, 2, 5, 0, 2, true, false, false
6, 1, 0, 2, 6, 0, 1, true, false, false
6, 1, 0, 2, 6, 0, 2, true, false, false
6, 1, 0, 4, 1, 1, 1, true, true, false
6, 1, 0, 4, 1, 1, 2, true, true, false
6, 1, 0, 4, 1, 2, 1, true, true, false
6, 1, 0, 4, 1, 2, 2, true, true, false
6, 1, 0, 4, 1, 3, 1, true, true, false
6, 1, 0, 4, 1, 3, 2, true, true, false
6, 1, 0, 4, 1, 4, 1, true, true, false
6, 1, 0, 4, 1, 4, 2, true, true, false
6, 1, 0, 4, 1, 5, 1, true, true, false
6, 1, 0, 4, 1, 5, 2, true, true, false
6, 1, 0, 4, 1, 6, 1, true, true, false
6, 1, 0, 4, 1, 6, 2, true, true, false
6, 1, 0, 4, 1, 7, 1, true, true, false
6, 1, 0, 4, 1, 7, 2, true, true, false
6, 1, 0, 4, 1, 8, 1, true, true, false
6, 1, 0, 4, 1, 8, 2, true, true, false
6, 1, 0, 4, 2, 1, 1, true, true, false
6, 1, 0, 4, 2, 1, 2, true, true, false
6, 1, 0, 4, 2, 2, 1, true, true, false
6, 1, 0, 4, 2, 2, 2, true, true, false
6, 1, 0, 4, 2, 3, 1, true, true, false
6, 1, 0, 4, 2, 3, 2, true, true, false
6, 1, 0, 4, 2, 4, 1, true, true, false
6, 1, 0, 4, 2, 4, 2, true, true, false
6, 1, 0, 4, 2, 5, 1, true, true, false
6, 1, 0, 4, 2, 5, 2, true, true, false
6, 1, 0, 4, 2, 6, 1, true, true, false
6, 1, 0, 4, 2, 6, 2, true, true, false
6, 1, 0, 4, 2, 7, 1, true, true, false
6, 1, 0, 4, 2, 7, 2, true, true, false
6, 1, 0, 4, 2, 8, 1, true, true, false
6, 1, 0, 4, 2, 8, 2, true, true, false
6, 1, 0, 4, 3, 1, 1, true, true, false
6, 1, 0, 4, 3, 1, 2, true, true, false
6, 1, 0, 4, 3, 2, 1, true, true, false
6, 1, 0, 4, 3, 2, 2, true, true, false
6, 1, 0, 4, 3, 3, 1, true, true, false
6, 1, 0, 4, 3, 3, 2, true, true, false
6, 1, 0, 4, 3, 4, 1, true, true, false
6, 1, 0, 4, 3, 4, 2, true, true, false
6, 1, 0, 4, 3, 5, 1, true, true, false
6, 1, 0, 4, 3, 5, 2, true, true, false
6, 1, 0, 4, 3, 6, 1, true, true, false
6, 1, 0, 4, 3, 6, 2, true, true, false
6, 1, 0, 4, 3, 7, 1, true, true, false
6, 1, 0, 4, 3, 7, 2, true, true, false
6, 1, 0, 4, 3, 8, 1, true, true, false
6, 1, 0, 4, 3, 8, 2, true, true, false
6, 1, 0, 4, 4, 1, 1, true, true, false
6, 1, 0, 4, 4, 1, 2, true, true, false
6, 1, 0, 4, 4, 2, 1, true, true, false
6, 1, 0, 4, 4, 2, 2, true, true, false
6, 1, 0, 4, 4, 3, 1, true, true, false
6, 1, 0, 4, 4, 3, 2, true, true, false
6, 1, 0, 4, 4, 4, 1, true, true, false
6, 1, 0, 4, 4, 4, 2, true, true, false
6, 1, 0, 4, 4, 5, 1, true, true, false
6, 1, 0, 4, 4, 5, 2, true, true, false
6, 1, 0, 4, 4, 6, 1, true, true, false
6, 1, 0, 4, 4, 6, 2, true, true, false
6, 1, 0, 4, 4, 7, 1, true, true, false
6, 1, 0, 4, 4, 7, 2, true, true, false
6, 1, 0, 4, 4, 8, 1, true, true, false
6, 1, 0, 4, 4, 8, 2, true, true, false
6, 1, 0, 5, 1, 1, 1, true, false, false
6, 1, 0, 5, 1, 2, 1, true, false, false
6, 1, 0, 5, 1, 3, 1, true, false, false
6, 1, 0, 5, 1, 4, 1, true, false, false
6, 1, 0, 5, 1, 5, 1, true, false, false
6, 1, 0, 5, 1, 6, 1, true, false, false
6, 1, 0, 5, 2, 1, 1, true, false, false
6, 1, 0, 5, 2, 2, 1, true, false, false
6, 1, 0, 5, 2, 3, 1, true, false, false
6, 1, 0, 5, 2, 4, 1, true, false, false
6, 1, 0, 5, 2, 5, 1, true, false, false
6, 1, 0, 5, 2, 6, 1, true, false, false
6, 1, 0, 6, 1, 1, 1, true, true, false
6, 1, 0, 6, 1, 1, 2, true, true, false
6, 1, 0, 6, 1, 2, 1, true, true, false
6, 1, 0, 6, 1, 2, 2, true, true, false
6, 1, 0, 6, 1, 3, 1, true, true, false
6, 1, 0, 6, 1, 3, 2, true, true, false
6, 1, 0, 6, 1, 4, 1, true, true, false
6, 1, 0, 6, 1, 4, 2, true, true, false
6, 1, 0, 6, 2, 1, 1, true, false, false
6, 1, 0, 6, 2, 1, 2, true, false, false
6, 1, 0, 6, 2, 2, 1, true, false, false
6, 1, 0, 6, 2, 2, 2, true, false, false
6, 1, 0, 6, 2, 3, 1, true, false, false
6, 1, 0, 6, 2, 3, 2, true, false, false
6, 1, 0, 6, 2, 4, 1, true, false, false
6, 1, 0, 6, 2, 4, 2, true, false, false
6, 1, 0, 6, 3, 1, 1, true, true, false
6, 1, 0, 6, 3, 1, 2, true, true, false
6, 1, 0, 6, 3, 2, 1, true, true, false
6, 1, 0, 6, 3, 2, 2, true, true, false
6, 1, 0, 6, 3, 3, 1, true, true, false
6, 1, 0, 6, 3, 3, 2, true, true, false
6, 1, 0, 6, 3, 4, 1, true, true, false
6, 1, 0, 6, 3, 4, 2, true, true, false
6, 1, 0, 6, 4, 1, 1, true, true, false
6, 1, 0, 6, 4, 1, 2, true, true, false
6, 1, 0, 6, 4, 2, 1, true, true, false
6, 1, 0, 6, 4, 2, 2, true, true, false
6, 1, 0, 6, 4, 3, 1, true, true, false
6, 1, 0, 6, 4, 3, 2, true, true, false
6, 1, 0, 6, 4, 4, 1, true, true, false
6, 1, 0, 6, 4, 4, 2, true, true, false
6, 1, 0, 6, 5, 1, 1, true, false, false
6, 1, 0, 6, 5, 1, 2, true, false, false
6, 1, 0, 6, 5, 2, 1, true, false, false
6, 1, 0, 6, 5, 2, 2, true, false, false
6, 1, 0, 6, 5, 3, 1, true, false, false
6, 1, 0, 6, 5, 3, 2, true, false, false
6, 1, 0, 6, 5, 4, 1, true, false, false
6, 1, 0, 6, 5, 4, 2, true, false, false
6, 1, 0, 6, 6, 1, 1, true, false, false
6, 1, 0, 6, 6, 1, 2, true, false, false
